"pa","lon","lat"
"0",-39.1458333328288,-11.3208333336303
"0",-38.9458333328152,-11.3208333336303
"0",-38.5458333327879,-11.3208333336303
"0",-40.5041666662547,-11.3291666669633
"0",-40.4374999995835,-11.3291666669633
"0",-39.6208333328612,-11.3291666669633
"0",-39.6041666661934,-11.3291666669633
"0",-39.0624999994898,-11.3291666669633
"0",-40.8291666662768,-11.3375000002963
"0",-40.7791666662734,-11.3375000002963
"0",-39.804166666207,-11.3375000002963
"0",-38.8624999994761,-11.3375000002963
"0",-40.0374999995562,-11.3458333336292
"0",-39.6041666661934,-11.3458333336292
"0",-38.7791666661371,-11.3458333336292
"0",-38.2541666661014,-11.3458333336292
"0",-39.1124999994932,-11.3541666669622
"0",-39.0624999994898,-11.3541666669622
"0",-38.7208333327998,-11.3541666669622
"0",-39.9041666662138,-11.3625000002952
"0",-38.6791666661303,-11.3625000002952
"0",-38.5791666661235,-11.3625000002952
"0",-40.6291666662632,-11.3708333336282
"0",-39.4874999995187,-11.3708333336282
"0",-38.9874999994847,-11.3708333336282
"0",-38.7541666661354,-11.3708333336282
"0",-38.0791666660894,-11.3708333336282
"0",-40.8374999996107,-11.3791666669611
"0",-40.6041666662615,-11.3791666669611
"0",-40.0958333328935,-11.3791666669611
"0",-39.9958333328867,-11.3791666669611
"0",-39.4124999995136,-11.3791666669611
"0",-39.2874999995051,-11.3791666669611
"0",-38.4291666661133,-11.3791666669611
"0",-38.3458333327743,-11.3791666669611
"0",-40.7958333329412,-11.3875000002941
"0",-39.2208333328339,-11.3875000002941
"0",-39.0291666661542,-11.3875000002941
"0",-38.0041666660843,-11.3875000002941
"0",-40.4458333329174,-11.3958333336271
"0",-39.7374999995358,-11.3958333336271
"0",-40.6874999996005,-11.40416666696
"0",-40.2041666662342,-11.40416666696
"0",-39.2124999995,-11.40416666696
"0",-40.5458333329242,-11.412500000293
"0",-39.6791666661985,-11.412500000293
"0",-39.6124999995273,-11.412500000293
"0",-39.3708333328441,-11.420833333626
"0",-39.2208333328339,-11.420833333626
"0",-38.0958333327572,-11.420833333626
"0",-40.7458333329378,-11.4291666669589
"0",-40.5874999995937,-11.4291666669589
"0",-40.4624999995852,-11.4375000002919
"0",-39.7458333328697,-11.4375000002919
"0",-40.0374999995562,-11.4458333336249
"0",-39.8624999995443,-11.4458333336249
