"pa","lon","lat"
"1",-42.3439,-22.6974
"1",-40.23,-19.9623
"0",-41.645833333167,-20.5874999996667
"0",-41.6624999998352,-20.595833333
"0",-41.7124999998397,-20.6541666663333
"0",-41.7374999998419,-20.670833333
"0",-41.6708333331693,-20.670833333
"0",-41.7124999998397,-20.6791666663333
"0",-41.6791666665034,-20.6874999996667
"0",-41.7374999998419,-20.7041666663333
"0",-41.7624999998442,-20.720833333
"0",-41.7208333331738,-20.720833333
"0",-41.7208333331738,-20.7291666663333
"0",-41.7874999998464,-20.745833333
"0",-41.7708333331783,-20.745833333
"0",-41.745833333176,-20.745833333
"0",-41.8041666665146,-20.7874999996667
"0",-41.845833333185,-20.8124999996667
"0",-41.8958333331895,-20.8624999996667
"0",-41.9874999998643,-20.9791666663333
"0",-41.954166666528,-20.9791666663333
"0",-41.9624999998621,-20.995833333
"0",-42.0208333332007,-21.0874999996667
"0",-42.0458333332029,-21.095833333
"0",-41.9958333331984,-21.095833333
"0",-42.0124999998666,-21.1291666663333
"0",-41.9874999998643,-21.1541666663333
"0",-42.0208333332007,-21.1624999996667
"0",-42.1291666665437,-21.1874999996667
"0",-42.1208333332096,-21.1874999996667
"0",-42.1124999998756,-21.195833333
"0",-42.0874999998733,-21.195833333
"0",-41.9874999998643,-21.2124999996667
"0",-42.0291666665348,-21.2374999996667
"0",-42.0208333332007,-21.2374999996667
"0",-41.9874999998643,-21.2374999996667
"0",-41.9791666665303,-21.2374999996667
"0",-42.0791666665392,-21.245833333
"0",-42.1124999998756,-21.2624999996667
"0",-42.1458333332119,-21.270833333
"0",-42.0291666665348,-21.270833333
"0",-41.954166666528,-21.270833333
"0",-42.1791666665482,-21.2791666663333
"0",-42.1458333332119,-21.2874999996667
"0",-42.1291666665437,-21.2874999996667
"0",-41.9624999998621,-21.2874999996667
"0",-42.1874999998823,-21.295833333
"0",-42.16249999988,-21.295833333
"0",-41.9791666665303,-21.295833333
"0",-42.0791666665392,-21.3041666663333
"0",-42.0458333332029,-21.3041666663333
"0",-42.0791666665392,-21.3124999996667
"0",-42.0458333332029,-21.3124999996667
"0",-42.0124999998666,-21.3124999996667
"0",-42.0041666665325,-21.3124999996667
"0",-42.16249999988,-21.320833333
"0",-42.1291666665437,-21.320833333
"0",-41.9208333331917,-21.3374999996667
"0",-42.1958333332164,-21.345833333
"0",-42.154166666546,-21.3541666663333
"0",-42.1874999998823,-21.3624999996667
"0",-42.054166666537,-21.3624999996667
"0",-42.2458333332209,-21.370833333
"0",-42.2374999998868,-21.370833333
"0",-42.0708333332052,-21.370833333
"0",-42.2208333332186,-21.3791666663333
"0",-41.9291666665258,-21.3791666663333
"0",-41.9124999998576,-21.3791666663333
"0",-41.8958333331895,-21.3791666663333
"0",-41.9791666665303,-21.3874999996667
"0",-41.9374999998599,-21.3874999996667
"0",-41.9208333331917,-21.3874999996667
"0",-42.154166666546,-21.395833333
"0",-42.0041666665325,-21.4124999996667
"0",-41.8874999998554,-21.420833333
"0",-42.2874999998913,-21.4291666663333
"0",-41.9624999998621,-21.4291666663333
"0",-42.2874999998913,-21.4374999996667
"0",-42.2458333332209,-21.4374999996667
"0",-42.2041666665504,-21.4374999996667
