"species","year","base","longitude","latitude","state"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.15070654","-16.35047896","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.20070361","-15.36715566","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.00069773","-15.03375624","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-40.02674525","-15.61715688","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.45071761","-16.70047701","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.56742725","-16.55047713","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.00069531","-14.26714317","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.23335915","-13.70133627","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.14401374","-14.01827585","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.67336337","-13.86516897","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0604892","-15.16673477","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.52768695","-15.15549345","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.16199919","-15.62016755","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.07492247","-15.57063496","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.50071853","-15.41715736","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03400422","-16.2837775","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.30071228","-14.9671501","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.10069959","-13.95043734","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.46741887","-14.8004503","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.284011","-14.78375153","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.05069917","-14.78374894","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.05069917","-14.78374894","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.46741887","-14.8004503","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.284011","-14.78375153","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.01739789","-14.10043728","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.10070302","-14.76715058","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.33401715","-15.6837637","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.10085362","-14.30063074","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.05069917","-14.78374894","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.33401715","-15.6837637","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.95069927","-15.68376903","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.284011","-14.78375153","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.30071228","-14.9671501","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.05069917","-14.78374894","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.46741887","-14.8004503","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.58401721","-14.8671509","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.65072344","-15.46715981","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.46741887","-14.8004503","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.26740757","-14.80045263","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.35071392","-15.08375395","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.50699169","-14.78374894","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.26740757","-14.80045263","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.03399669","-14.81715098","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.86743241","-14.26713806","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0507003","-15.18375256","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.28400647","-14.60044621","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.65071733","-14.70044694","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.06740179","-15.18375722","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.71741745","-13.58373266","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0507003","-15.18375256","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.05342841","-15.2591364","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.13681695","-14.49294785","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.11619677","-14.91495152","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0884125","-13.32456258","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.13681695","-14.49294785","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.19555556","-17.51944444","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.4575","-12.87972222","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.25","-15.11666667","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-37.55","-11.3","Sergipe"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0425","-15.18888889","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.04","-13.65","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.04944444","-14.78888889","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.73138889","-13.59292055","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.52768695","-15.15549345","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.028136","-14.829481","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-38.508942","-13.004775","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.058611","-15.171111","Bahia"
"Bradypus torquatus",NA,"Dataset - Neotropical Xenarthrans","-39.0425","-15.188889","Bahia"
"Bradypus torquatus",2011,"Dataset - Neotropical Xenarthrans","-39.16248","-15.13915","Bahia"
"Bradypus torquatus",2011,"Dataset - Neotropical Xenarthrans","-39.14826","-15.14076","Bahia"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-39.13671","-15.11339","Bahia"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-39.1366","-15.11593","Bahia"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-39.00747","-15.16225","Bahia"
"Bradypus torquatus",2013,"Dataset - Neotropical Xenarthrans","-39.05985","-15.17416","Bahia"
"Bradypus torquatus",2013,"Dataset - Neotropical Xenarthrans","-39.05492","-15.17767","Bahia"
"Bradypus torquatus",2016,"Dataset - Neotropical Xenarthrans","-39.02457","-14.92501","Bahia"
"Bradypus torquatus",2016,"Dataset - Neotropical Xenarthrans","-39.22565","-14.77464","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.02024","-14.93264","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.03462","-15.341164","Bahia"
"Bradypus torquatus",2016,"Dataset - Neotropical Xenarthrans","-39.004092","-14.998717","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.002567","-14.998129","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.218629","-14.77211","Bahia"
"Bradypus torquatus",2016,"Dataset - Neotropical Xenarthrans","-39.225619","-14.774662","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.218444","-14.772381","Bahia"
"Bradypus torquatus",2016,"Dataset - Neotropical Xenarthrans","-39.020215","-14.93266","Bahia"
"Bradypus torquatus",2017,"Dataset - Neotropical Xenarthrans","-39.216464","-14.772437","Bahia"
"Bradypus torquatus",2011,"Dataset - Neotropical Xenarthrans","-39.133666","-15.150687","Bahia"
"Bradypus torquatus",2011,"Dataset - Neotropical Xenarthrans","-39.136705","-15.11339","Bahia"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-39.162569","-15.139122","Bahia"
"Bradypus torquatus",2012,"Dataset - Neotropical Xenarthrans","-39.005642","-15.194169","Bahia"
