"species","year","base","longitude","latitude","state"
"Bradypus crinitus",2020,"inat","-40.2202677424","-20.2093702263","Espírito Santo"
"Bradypus crinitus",2019,"inat","-40.2866174562","-20.0922699042","Espírito Santo"
"Bradypus crinitus",2019,"inat","-40.3002938761","-20.2690039866","Espírito Santo"
"Bradypus crinitus",2019,"inat","-40.4502729449","-19.9233064073","Espírito Santo"
"Bradypus crinitus",2018,"inat","-40.2589298651","-20.2539493402","Espírito Santo"
"Bradypus crinitus",1990,"vertnet","-40.072222","-19.391111","Espírito Santo"
"Bradypus crinitus",1995,"vertnet","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",2006,"vertnet","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1986,"vertnet","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",2006,"idigbio","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1986,"idigbio","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1995,"idigbio","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1941,"idigbio","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1905,"idigbio","-40.072222","-19.391111","Espírito Santo"
"Bradypus crinitus",1995,"specieslink","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1941,"specieslink","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",2006,"specieslink","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1986,"specieslink","-40.600278","-19.935556","Espírito Santo"
"Bradypus crinitus",1905,"specieslink","-40.072222","-19.391111","Espírito Santo"
"Bradypus crinitus",2016,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2010,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.698667","-20.041694","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.69525","-20.041639","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.697444","-20.039583","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.697556","-20.039194","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.696556","-20.041917","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.69575","-20.042694","Espírito Santo"
"Bradypus crinitus",2005,"specieslink","-40.693972","-20.04525","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.2733001708984","-19.8202991485596","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.875301361084","-19.8738994598389","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.7461013793945","-20.040599822998","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.7461013793945","-20.040599822998","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.7461013793945","-20.040599822998","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.7461013793945","-20.040599822998","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.7461013793945","-20.040599822998","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.7461013793945","-20.040599822998","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2002,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2002,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2002,"specieslink","-40.6002998352051","-19.9356002807617","Espírito Santo"
"Bradypus crinitus",2003,"specieslink","-42.2042007446289","-22.4806003570557","Rio de Janeiro"
"Bradypus crinitus",2003,"specieslink","-42.3917007446289","-22.6508007049561","Rio de Janeiro"
"Bradypus crinitus",2003,"specieslink","-42.3917007446289","-22.6508007049561","Rio de Janeiro"
"Bradypus crinitus",2009,"specieslink","-40.66666","-20.4","Espírito Santo"
"Bradypus crinitus",2009,"specieslink","-40.65","-20.35","Espírito Santo"
"Bradypus crinitus",2009,"specieslink","-40.65","-20.35","Espírito Santo"
